Id,Label,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,indegree,outdegree,Degree,eigencentrality,pageranks
9/11 hijackers,9/11 hijackers,0,0,0,0,0,0,0,0,0,0,0,0,0
local airstrips,local airstrips,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeroflot,Aeroflot,2,8,0.203431,0.222741,0,0,1,1,0,1,1,0.005687,0.002015
Edward Snowden,Edward Snowden,2,7,0.254992,0.301463,1605,10,15,25,6,5,11,0.024154,0.032805
Al Gore,Al Gore,1,5,0.379863,0.414357,0,0,1,1,0,1,1,0.099837,0.00214
Jeffrey Epstein,Jeffrey Epstein,1,4,0.610294,0.748494,12057.509463,106,117,223,42,63,105,1,0.241132
Alan M. Dershowitz,Alan M. Dershowitz,3,5,0.454795,0.523795,4452.574561,2,39,41,2,25,27,0.266733,0.061249
Jane Doe #3 (HOUSE_OVERSIGHT_010735) (HOUSE_OVERSIGHT_010735),Jane Doe #3 (HOUSE_OVERSIGHT_010735) (HOUSE_OVERSIGHT_010735),3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
"United States District Court, Southern District of Florida","United States District Court, Southern District of Florida",3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Virginia Roberts Giuffre,Virginia Roberts Giuffre,3,5,0.41604,0.450502,165,3,3,6,2,3,5,0.150609,0.006568
Ghislaine Maxwell,Ghislaine Maxwell,3,5,0.435696,0.476104,634.254253,9,7,16,4,6,10,0.187673,0.019374
Palm Beach Police Department,Palm Beach Police Department,3,6,0.313208,0.334739,0,2,0,2,1,0,1,0.029146,0.003501
law enforcement,law enforcement,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
October 2005,October 2005,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
flight on November 20 2005,flight on November 20 2005,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Tatiana,Tatiana,3,6,0.313208,0.334739,0,4,0,4,1,0,1,0.029146,0.006104
flight logs,flight logs,3,6,0.314991,0.339759,15.333333,3,0,3,2,0,2,0.040914,0.004934
members of Mr. Epstein’s legal team,members of Mr. Epstein’s legal team,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Emmy Taylor,Emmy Taylor,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Claire Hazel,Claire Hazel,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Joel Pashcow,Joel Pashcow,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Mandy,Mandy,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Sarah Kellen,Sarah Kellen,1,5,0.425641,0.457028,103.084809,3,2,5,2,2,4,0.151562,0.005629
Adriana Mucinska,Adriana Mucinska,1,6,0.332665,0.360141,103.084809,3,0,3,2,0,2,0.051725,0.004387
Tatianna Kovylskna,Tatianna Kovylskna,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Police Detective Joe Recarey,Police Detective Joe Recarey,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Kiev to meet,Kiev to meet,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
Palm Beach Police Detective Joe Recarey,Palm Beach Police Detective Joe Recarey,3,6,0.313208,0.334739,0,1,0,1,1,0,1,0.029146,0.0022
federal and state authorities,federal and state authorities,2,6,0.328063,0.357831,1859,1,2,3,1,2,3,0.036522,0.005374
Town of Palm Beach,Town of Palm Beach,3,5,0.409877,0.440462,0,2,0,2,2,0,2,0.128984,0.003442
Jane Doe #3,Jane Doe #3,3,5,0.409877,0.440462,0,1,1,2,1,1,2,0.128984,0.003442
Alireza Ittihadieh,Alireza Ittihadieh,1,5,0.381609,0.418373,79.5,0,3,3,0,2,2,0.10321,0.004908
G550 aircraft,G550 aircraft,13,6,0.282313,0.304518,3,2,0,2,2,0,2,0.023179,0.003589
Andrew Farkas,Andrew Farkas,1,6,0.276667,0.292972,0,0,1,1,0,1,1,0.010423,0.002296
Kelly Friendly,Kelly Friendly,1,5,0.381609,0.418373,165,4,0,4,2,0,2,0.101881,0.006576
Andrés Pastrana Arango,Andrés Pastrana Arango,19,5,0.383372,0.41988,31.809516,1,1,2,1,1,2,0.111376,0.003517
Bill Clinton,Bill Clinton,1,5,0.413965,0.484137,1970.225053,30,55,85,6,15,21,0.205817,0.074632
Jeffrey Epstein's private plane,Jeffrey Epstein's private plane,1,6,0.293286,0.317871,0,3,0,3,1,0,1,0.022579,0.004179
Jeffrey Epstein's aircraft (Lolita Express),Jeffrey Epstein's aircraft (Lolita Express),1,6,0.293286,0.317871,0,1,0,1,1,0,1,0.022579,0.001992
Jeffrey Epstein's jet,Jeffrey Epstein's jet,10,6,0.294849,0.3249,5.066667,9,0,9,3,0,3,0.039012,0.010582
Adriana Mucinska Ross,Adriana Mucinska Ross,1,6,0.293286,0.317871,0,2,0,2,1,0,1,0.022579,0.003086
Ira Magaziner,Ira Magaziner,1,6,0.293286,0.317871,0,2,0,2,1,0,1,0.022579,0.003086
Rodney Slater,Rodney Slater,1,6,0.293286,0.317871,0,2,0,2,1,0,1,0.022579,0.003086
Naomi Campbell,Naomi Campbell,1,5,0.394299,0.431928,0,2,1,3,1,1,2,0.122416,0.004328
